term_en,description_english,description_arabic,term_arabic
COMPARATIVE NEGLIGENCE,"A legal doctrine by which the liability of each party to the other for accidents is determined, based on each party's respective level of negligence.",أهمال مقارن - عقيدة قانونية تحدد فيها مسؤولية كل طرف تجاه الآخر في الحوادث استناداً إلى مستوى الإهمال الخاص بكل طرف.,إهمال مقارن
COMPENSATORY DAMAGES,Money that one person must pay another to cover the cost of a wrong or injury.,تعويضات عطل وضرر - مبلغ من المال يتعين على شخص دفعه إلى آخر لتغطية تكلفة ضرر أو إصابة.,تعويضات عطل وضرر
COMPETENCE ORDER,An order from a superior court that says that a defendant is mentally able to go to trial. Tells the trial court to go ahead with the criminal case.,أمر الكفاءة - أمر من محكمة عليا يقول بأن المتهم قادر عقلياً على المثول أمام المحاكمة. يخبر المحكمة بضرورة المضي قدماً بالقضية الجنائية.,أمر الكفاءة
COMPETENCY,"The ability for a person to understand and communicate, especially with regard to standing trial and assisting counsel in his or her defense.",الأهلية - قدرة الشخص على فهم الإجراءات والتواصل حيث يتعلق بالمثول أمام المحاكمة بمساعدة المستشار القانوني في دفاعه عن نفسه.,الأهلية
CONVICT,(1) A person who has been found guilty of a crime and is serving a sentence for that crime; a prison inmate. (2) To find a person guilty of an offense by either a trial or a plea of guilty.,مدان - (1) شخص ثبت عليه وجوده مدانًا بارتكاب جرم، وهو يقضي عقوبته بصفته نزيل سجن. (2) إثبات أمر شخص مذنب بجرم من خلال محاكمة أو إقرار بالذنب.,مدان
CONVICTION,When a judge or jury finds a criminal defendant guilty.,إدانة - عندما يجد القاضي أو هيئة المحلفين أن المتهم بجريمة مذنب.,إدانة
CORONER,Public official charged to inquire into the causes and circumstances of any death which occurs through violence or suddenly (suspicious causes).,كورونر - مسؤول عام مكلف بالتحقيق في أسباب وظروف أي وفاة تحدث عن طريق العنف أو فجأة (أسباب مشبوهة).,كورونر
CORPORATION,"A group of persons who get a charter granting them as a body certain legal powers, rights, privileges, and liabilities as an individual.",شركة - مجموعة من الأشخاص تحصل على ميثاق يمنحهم كجسم بعض الصلاحيات، الحقوق، المزايا، والمسؤوليات كفرد.,شركة
CORPUS DELICTI,"Body of the crime. The objective proof that a crime has been committed. It sometimes refers to the body of the victim of a homicide or to the charred remains of a burned house, but the term has a broader meaning.",جسم الجريمة - الأدلة الموضوعية التي تثبت أن جريمة قد حدثت. أحيانًا، يشير إلى جسم ضحية جريمة قتل أو إلى مخلفات منزل محترق، لكن المصطلح له معنى أوسع يشمل أي دليل موضوعي يثبت أن الجريمة كانت مصدر الإصابة الخاصة أو الخسارة الجنائية المذكورة.,جسم الجريمة
CORROBORATE,To support with evidence or authority; make more certain.,تعزيز - دعم الأدلة أو السلطة لجعل شيء مؤكد.,تعزيز
CORROBORATING EVIDENCE,Supplementary evidence that tends to strengthen or confirm the initial evidence.,دليل مساند - دليل إضافي يهدف إلى تقوية أو تأكيد الدليل الأولي.,دليل مساند
CORROBORATION,Confirmation or support of a witness' statement or other fact.,تأكيد - تأييد أو دعم لادعاء شاهد أو حقيقة أخرى.,تأكيد
CORRUPTLY,Dishonestly.,بطريقة فاسدة - بطريقة غير نزيهة.,بطريقة فاسدة
COSTS,(1) Fees and charges that a party pays to file and present a court case or to enforce a judgment; (2) money won in a civil suit to pay for expenses.,مصاريف - (1) رسوم وتكاليف يدفعها طرف لتقديم قضية قانونية أو تنفيذ حكم قضائي. (2) مال يفوز به في دعوى مدنية لتغطية المصاريف.,مصاريف
COUNSEL,"One or more lawyers who represent a client. Also, legal advice.",مستشار أو مستشارون قانونيون يمثلون عميلاً. كذلك، استشارة قانونية.,مستشار
COUNSEL TABLE,The physical location where the defense and prosecuting parties are seated during the trial.,طاولة الاستشارة القانونية - الموقع الفعلي الذي يجلس فيه كل من الدفاع والنيابة العامة خلال المحاكمة.,طاولة الاستشارة القانونية
COUNT,Each separate charge (or statement) in a criminal case. See CHARGE.,تهمة - كل تهمة منفصلة (أو بيان) في قضية جنائية. راجع: تهمة.,تهمة
ASSIGNMENT ORDER,A court order (made after a MOTION) that says a JUDGMENT DEBTOR must assign certain rights to the JUDGMENT CREDITOR.,أمر النقل – أمر من المحكمة، يصدر بعد طلب، طرف يعين بموجبه حقوق معينة إلى الدائن   المنتصر.,أمر النقل
ASSUMPTION OF RISK,A defense to a lawsuit for personal injury. The essence of the defense is that the plaintiff assumed the known risk of whatever dangerous condition caused the injury.,افتراض المسؤولية – دفاع في دعوى تعويض عن خطر مفترض قد يعرفه المدعي قد يسبب الأذى    الذي أصابه.,افتراض المسؤولية
AT ISSUE,The time in a lawsuit when the complaining party has stated his or her claim and the other side has responded with a denial and the matter is ready to be tried.,نقطة الخلاف – مرحلة دعوى قضائية يقدم فيها الطرف الشاكي دعواه ويقدم الطرف الآخر دفاعه للشروع في المحاكمة.,نقطة الخلاف
AT ISSUE MEMORANDUM,A legal paper filed in a civil case that says the case is ready to go to trial.,مذكرة القضية المطروحة – ورقة قانونية تقدم في قضية مدنية تفيد أن القضية جاهزة للمحاكمة.,مذكرة القضية المطروحة
ATTACHMENT,(1) Document attached to court papers to give more information. (2) A way to collect judgment: by getting a court order that says you can take a piece of property.,الحجز – (1) وثيقة تُضاف إلى وثائق المحكمة لتقديم مزيد من المعلومات. (2) طريقة لتحصيل حكم بواسطة أمر محكمة يتيح لك أخذ قطعة من الأصول.,الحجز
ATTACHMENT FOR DEFAULTER,A process by the court for the arrest of a person other than a defendant.,حجز لأبلاغ المذنب بتقديم طلب (ليس المدعى عليه) - عملية قضائية تستوجب القبض على الجاني الهارب.,حجز لأبلاغ المذنب بتقديم طلب
ATTEMPT,An effort to do an act or commit a crime.,محاولة - بذل جهد لأداء فعل أو ارتكاب جريمة.,محاولة
ATTEST,"To witness, to affirm to be true or genuine, to certify.",شهادة – إيثار، إلى تأكيد حقيقي أو راهن، و تصديق.,شهادة
ATTESTATION,"The act of witnessing something in writing, at the request of a party.",التوقيع - العملية المتمثلة في الشهادة على شيء ما خطياً، بناءً على طلب طرف.,التوقيع
ATTORNEY,Someone that is qualified to represent clients in court and to give them legal advice.,وكيل - شخص مؤهل لتمثيل العملاء في المحكمة، وتقديم النصائح القانونية.,وكيل
ATTORNEY OF RECORD,The lawyer whose name is listed in a case record as representing someone in the case.,وكيل القضية - المحامي الذي يظهر اسمه في سجل القضية كممثل لشخص في القضية.,وكيل القضية
ATTORNEY-AT-LAW,"An advocate, counsel, or official agent employed in preparing, managing, and trying cases in the courts.",محام، وكيل قانوني - محام، أو وكيل قانوني، ينظم تجهيز وإدارة قضايا في المحاكم.,محام، وكيل قانوني
PERMANENCY HEARING,"The hearing for children placed in or awaiting placement in foster care who were under age three at the time of detention, and for all children, to monitor the welfare of the child, evaluate the parents’ reunification efforts and establish a permanent plan for the child.",جلسة بحث وضع دائم - جلسة للأطفال الموضوعين أو في انتظار وضعهم في رعاية بديلة، وكان عمرهم أقل من ثلاث سنوات وقت الاحتجاز، وكذلك لجميع الأطفال، لمراقبة رفاهية الطفل وتقييم جهود إعادة توحيد الوالدين ووضع خطة دائمة للطفل.,جلسة بحث الوضع الدائم
PERMANENT INJUNCTION,"A court order requiring that some action be taken, or that some party refrain from taking action. It differs from forms of temporary relief, such as a TEMPORARY RESTRAINING ORDER or PRELIMINARY INJUNCTION.",أمر قضائي بإيقاف دائم - أمر محكمة يفرض على طرف أن يتخذ فيه بعض الإجراءات أو يمتنع عن بعض الإجراءات. يختلف عن أشكال الانفراج المؤقت مثل أمر تقييدي مؤقت أو إيقاف تمهيدي.,أمر قضائي بالإيقاف الدائم
PERMANENT PLANNED LIVING ARRANGEMENT (PPLA),One of the permanent plans that may be ordered for a child who is not returned to parental custody (formerly long term foster care).,خطة دائمة مدروسة – أحد الخطط الدائمة التي قد تُصاغ للطفل الذي لا يعود إلى حضانة والديه البيولوجيين (كانت تُعرف سابقاً بالخطة البديلة).,خطة دائمة مدروسة
PERMANENT RESIDENT,One who lives in a location for a period of time and intends that it is their official address or residence.,المقيم الدائم - الشخص الذي يعيش في مكان لفترة زمنية ويرغب في أن يكون ذلك عنوانه رسميًا ومحل إقامته.,المقيم الدائم
PERSON IN NEED OF SUPERVISION,"Juvenile found to have committed a status offense rather than a crime that would provide a basis for a finding of delinquency. Typical status offenses are habitual truancy, violating a curfew, or running away from home. These are not crimes, but they might be enough to place a child under supervision.",الشخص الذي يحتاج إلى رقابة - الأحداث الذين يعتقد أنهم ارتكبوا مخالفة معنية (حالة) بدلاً من جريمة قد تكون أساسًا لإيجاد حالة إخلال بالنظام. تتضمن المخالفات النموذجية التسرب المدرسي المتكرر، خرق حظر التجول أو الهروب من المنزل. هذه الأعمال ليست جرائم، ولكن يمكن أن تكون كافية لوضع الطفل تحت الرقابة.,الشخص الذي يحتاج إلى رقابة
PERSONAL PROPERTY,"Things that you own and can move, like furniture, equipment, or paintings.",الممتلكات الشخصية – حيازة تمتلكها نقل، تشمل أغراض مثل الأثاث، المعدات، أو الرسومات.,الممتلكات الشخصية
PERSONAL RECOGNIZANCE,Pre-trial release based on the person’s own promise that he or she will show up for trial (no bond required). Also referred to as release on own recognizance or ROR.,تعهد شخصي – الإطلاق قبل المحاكمة يعتمد على وعد الشخص نفسه بأنه سيحضر للمحاكمة دون اشتراط كفالة. ويُعرف أيضاً بالإطلاق بناء على التعهد الشخصي أو الخلاص بالاعتراف.,الإفراج بضمان شخصي
PERSONAL REPRESENTATIVE,"A person picked by the court to collect, manage and distribute a person’s property (estate) when they die. If named in a will, that person’s title is EXECUTOR. If there is no valid will, that person's title is an ADMINISTRATOR.",الممثل الشخصي – شخص يختاره القضاء لتجميع وإدارة وتوزيع ممتلكات شخص ما عند وفاسته. إذا كان مذكوراً في وصية، يكون لقب الشخص المذكور هو المنفذ. إذا لم يكن هناك وصية سارية، يكون لقب الشخص المذكور هو المدير.,المنفذ أو المدير
PETIT JURY (TRIAL JURY),A group of citizens that listen to the evidence presented by both sides at trial and figure out the facts in dispute. Criminal juries are made up of 12 people; civil juries are made up of at least 6 people.,هيئة محلفين صغيرة – مجموعة من المواطنين يستمعون للأدلة التي يقدمها طرفا القضية في المحاكمة ويقررون حقيقة النزاع. تتكون هيئات المحلفين الجنائية من اثني عشر شخصا، في حين تتكون هيئات المحلفين المدنية من ستة أشخاص على الأقل.,هيئة محلفين صغيرة
PETITION,"A court paper that asks the court to take action. For example, in juvenile cases, the Petition starts the court case. (Compare MOTION.)",الالتماس - ورقة قضائية تطلب من المحكمة اتخاذ إجراء. مثلاً: في مسك الأحداث، تبدأ الالتماسات المحاكمات (قارن طلب).,الالتماس
PETITIONER,A person who presents a petition to the court.,الالتماس – الطرف الذي يقدم الالتماس إلى المحكمة,التماس
PETTY OFFENSE,An offense for which the authorized penalty does not exceed imprisonment for 3 months or a fine of $500.,جريمة بسيطة - جريمة لا تعاقب عليها القوانين بالحبس لمدة تزيد عن ثلاثة أشهر أو غرامة تزيد عن 500$,جريمة بسيطة
PETTY THEFT,The act of taking and carrying away the personal property of another of a value usually below $100.00 with the intent to deprive the owner of it permanently.,سرقة بسيطة - أخذ شيء يملكه شخص آخر، قدره أقل من 100 دولار، بقصد نزع ملكية صاحبه عنه بشكل دائم,سرقة بسيطة
PIMP,"(1) the act of getting customers for a whore or prostitute, (2) one who gets customers for a whore or prostitute.",دلال - (١) الحصول على زبائن لعاهرة أو مومس، (٢) شخص يقوم بجلب زبائن لعاهرة أو مومس,دلال
PITCHES MOTION,A request made by the defendant for discovery of a peace officer’s personnel file with regards to any complaints or acts of excessive force and violence.,طلب جلب - طلب مقدم من المتهم بهدف الحصول على ملفات الضباط الخاصة بأى شكاوى أو تصرفات تتضمن استخدام القوة المفرطة أو العنف,طلب جلب
PLAINTIFF,The person or company that files a lawsuit.,المدّعي - الشخص أو الكيان الذي يرفع دعوى قضائية,المدعي
PLEA,"In a criminal case, the defendant’s statement (pleading ""guilty"" or ""not guilty"" in answer to the charges. See also NO CONTEST.)",الدفع – حيث يرد المتهم في القضية الجنائية على التهم الموجهة إليه. الدفع بالذنب أو عدم الذنب، إذ يترك للمحكمة تقرير الجنح,الدفع
PLEA BARGAIN,"An agreement between the prosecutor and the defendant. It lets the defendant plead guilty to a less serious charge, if the court approves.",سواديا على الدفع - الاتفاق بين المدعي العام والمتهم. تسمح الاتفاقية للمتهم بالاعتراف بالذنب في تُهم أقل خطورة، إذا وافقت المحكمة,سواديا على الدفع
PLEAD,To admit or deny committing a crime.,يقر/ينكر على الأتهام - يعترف أو ينفي ارتكاب جريمة,يقر/ينكر على الأتهام
PLEADING,Written statements filed with the court that describes a party's legal or factual claims about the case and what the party wants from the court.,بيان - كتابات تتقدم بها الأطراف إلى المحكمة تصف فيها حقها في القضية أو مطالبها القانونية، بما يعكس مطالبها من المحكمة.,بيان
POLLING THE JURY,A practice in which jurors are asked individually whether they agree with the final verdict in the case they just decided.,تصويت المحلفين - ممارسة تقتضي سؤال المحلفين واحداً تلو الآخر إذا ما كانوا يوافقون على الحكم النهائي الذي قرروا فيه مؤخراً,تصويت المحلفين
POLYGRAPH,Lie detector test and the apparatus for conducting the test.,كشف الكذب - جهاز كشف الكذب، والآلة التي تُجرى الاختبار,جهاز كشف الكذب
STRICKEN EVIDENCE,Evidence that has been removed from the record.,الأدلة التي أزيلت من السجل.,أدلة محجوبة
STRIKE,"(1) to delete or remove. (2) To dismiss an allegation before sentencing. (3) A serious violent felony prior conviction that is charged as a prior allegation, e.g. a second strike, or third strike.",(1) يحذف أو ينزع. (2) يرفض اتهام قبل النطق بالحكم. (3) اتهام بجناية عنيفة خطيرة تعُدّ كاتهام سابق، مثلاً، إضراب ثانٍ أو ثالث.,إضراب
SUA SPONTE,Used to describe when a judge does something without being asked to by either party. Latin meaning “of one’s own will.”,"عبارة عن تدخل من القاضي دون طلب من أي من الأطراف استعمال الكلمة اللاتينية التي تعني ""بمحض إرادة"".",من تلقاء نفسه
SUB CURIA,"Latin meaning “under the law;” the holding of a case by a court under consideration, sometimes to await the filing of a document, such as a presentence investigation report or memorandum of law, or to write an opinion.",تحت القرار – الانتظار الذي يتم بتحفظ القضية المنظورة بين أيدي القاضي، أحياناً بانتظار مستندات قانونية مثل تقرير التحري قبل الحكم أو مرافعة أو رأي.,تحت النظر
SUBMIT,To yield to the will of another.,يخضع، يستسلم لإرادة شخص آخر.,يستسلم
SUBPOENA,An official order to go to court at a certain time. Subpoenas are commonly used to tell witnesses to come to court to testify in a trial.,أمر رسمي للمثول للمحكمة في وقت محدد. تستخدم بصورة معتادة لإخبار الشهود بالحضور للمحكمة للإدلاء بشهادتهم في محاكمة.,استدعاء
SUBPOENA DUCES TECUM,A court order to bring papers or records to court at a certain time.,أمر قضائي لجلب مستندات أو سجلات إلى المحكمة في توقيت محدد.,استدعاء بإحضار المستندات
SUBROGATION,To substitute one person for another in a legal claim.,حق تقديم شخص بديلاً عن آخر في المطالبة القانونية.,نقل الحق
SUBSTANTIAL PERFORMANCE,Where a party has honestly and faithfully performed the essential and material portions of the contract and the only non-performance consists of technical or unimportant provisions.,الأداء الجوهري الصحيح حيث تؤدي الأطراف الأساسيّة بأمانة في العقد، ولا يتضمن سوى الأجزاء التقنية الغير أساسية.,أداء جوهري
SUBSTANTIVE LAW,"The law dealing with rights, duties, and liabilities, as contrasted with PROCEDURAL LAW, which governs the technical aspects of enforcing civil or criminal laws.",قانون جوهري - يتعلق بالحقوق والواجبات والمسؤوليات التعاقدية ويخالف القانون الإجرائي الذي يُعنى برسم كيفيات تطبيق القوانين المدنية والجنائية.,قانون جوهري
SUCCESSION,The acquisition of title to the property of one who dies without disposing of it by will.,خلافة – وراثة أحقية الملكية للمتوفي بدون وصية.,خلافة
SUE,To commence legal proceedings for recovery of a right.,يباشر، يلجأ إلى القضاء لاسترجاع حق.,يقاضي
SUIT,Any proceeding by one person or persons against another in a court of law.,دعوى- محاكمة تقدم بها شخص أو أكثر ضد آخر.,دعوى
SUMMARY JUDGMENT,When the judge decides a case without going to trial. The decision is based on the papers filed by both sides.,حكم موجز – يصدر من القاضي التحقيق الذي لم يحكم بناءً على مرافقات سجلت من الطرفين.,حكم موجز
BAIL BONDSMAN,Person who is responsible for paying the bond for the defendant's release from jail.,كفيل الكفالات - الشخص المسؤول عن دفع الكفالة من أجل إطلاق سراح المتهم من السجن.,كفيل الكفالات
BAIL EXONERATION,"When you get your bail back. Or when a bail bondsman or insurance (""surety"") company isn't responsible for your bail anymore.","الإعفاء من الكفالة - عندما تستعيد كفالتك أو عندما تعد شركة الكفالة أو الضمان (""الكفيل"") غير مسؤولة عن كفالتك.",الإعفاء من الكفالة
BAIL FORFEITURE,A court order to let the court keep the bail deposit because the defendant didn’t go to court when they were supposed to.,مصادرة الكفالة - أمر محكمة يتيح للمحكمة الاحتفاظ بمبلغ الكفالة لأن المتهم لم يذهب إلى المحكمة في الموعد المقرر.,مصادرة الكفالة
BAILIFF,Person who is in charge of security in the court. Bailiffs are picked by sheriffs.,حاجب المحكمة - الشخص المسؤول عن حفظ النظام في المحكمة. يتم اختيار الحجاب من قبل العمد.,حاجب المحكمة
BAILMENTS,A delivery of goods from one person to another in trust for purpose of carrying out agreed upon services.,رهانات - عملية تسليم بضائع من شخص لآخر كوصي آمن لغرض تنفيذ خدمات متفق عليها.,رهانات
BAIL NOTICE,A legal paper from the court that says the court will make a WARRANT for arrest unless the defendant goes to court or pays bail.,إشعار الكفالة - وثيقة قانونية من المحكمة تقول أن المحكمة ستصدر مذكرة توقيف إذا لم يذهب المتهم إلى المحكمة أو يدفع الكفالة.,إشعار الكفالة
BAIL RECEIPT,A written statement that the court gives a defendant that says bail was paid.,إيصال الكفالة - بيان مكتوب تقدمه المحكمة للمتهم يفيد بأن الكفالة قد تم دفعها.,إيصال الكفالة
BAIL REVIEW,A hearing established to re-evaluate the bail amount that was originally set for the accused.,مراجعة الكفالة - جلسة محكمة تأسست لإعادة تقييم مبلغ الكفالة الذي تم تحديده في البداية للمتهم.,مراجعة الكفالة
BALLARD MOTION,A motion for psychiatric examination of prosecutor’s witnesses (victims).,طلب بالارد - طلب لإجراء فحص نفسي على شهود الاتهام.,طلب بالارد
BANK LEVY,"Way to enforce a decision against someone who owes money. The money is taken from their checking or savings account at a bank, savings and loan, or credit union.",حجز مصرفي - طريقة لتنفيذ قرار ضد من عليه مبلغ مالي تُحصل الأموال المستحقة من حساب الجاري، التوفير، أو اتحاد الائتمان في البنك.,حجز مصرفي
BANKRUPT,The state or condition of a person who is unable to pay his or her debts when they are due.,بانكروت - حالة الشخص الذي يعجز عن تسديد ديونه عند تاريخ استحقاقها.,بانكروت
BANKRUPTCY,"The legal way for a business or person to get help when they can't pay the money they owe. In bankruptcy court, they can get rid of debts by paying part of what they owe. There are special bankruptcy judges at these hearings.",الإفلاس - الطريقة القانونية السمحة لشركة أو شخص أن يحصل على مساعدة عندما لا يستطيعون سداد ما عليهم من أموال. في محكمة الإفلاس، يمكنهم التخلص من الديون بدفع جزء من ما عليهم. هناك قضاة خاصون لهذه الجلسات.,الإفلاس
BAR,"All of the lawyers qualified to practice law. For example, a state bar includes all of the lawyers qualified to practice law in that state.",نقابة المحامين - كتلة تضم جميع المحامين المؤهلين لمزاولة القانون. مثال: نقابة محامي الدولة تضم جميع المحامين المؤهلين لممارسة القانون في تلك الدولة.,نقابة المحامين
INHABITED,"Act of residing actually and permanently in a given place – dwelling. Synonymous with domicile, dwell, live, sojourn.",يسكن – اتخاذ المنزل مكاناً دائماً، محل إقامة.,يشأن منطقة معيشة
INHABITED DWELLING,A structure which is currently used as a residence whether occupied or not. Courts flexibly interpret this term. It is still inhabited even if the occupants are temporarily absent.,سكن مأهول – بناية يستخدم كمكان إقامة، كان مأهولاً أم لا، السكن المأهول لا يزال كذلك حتى لو كان السكان غائبين بشكل وقتي.,مسكن مأهول
INHERITANCE TAX,A state tax on property that an heir or beneficiary under a will receives from a deceased person’s estate. The heir or beneficiary pays this tax.,ضريبة الإرث – ضريبة حكومية تفرض على الأملاك التي يتلقاها الوارث أو المستفيد بموجب وصية من تركة المتوفى.,ضريبة الميراث
INITIAL APPEARANCE,"In criminal law, the hearing at which a judge determines whether there is sufficient evidence against a person charged with a crime to hold him or her for trial.",الإطلالة الأولية – في القانون الجنائي، الجلسة التي فيها يحكم القاضي ما إذا كانت الأدلة على المتهم كافية لإحالته للمحاكمة.,الظهور الأولي
INJUNCTION,"A court order that says a defendant can’t perform, or must perform, a specific act.",أمر تقييدي – أمر قضائي ينص على أن المدعى عليه يجب عدم أداء عمل معين أو يجب إتمام فعل معين.,أمر قضائي
IN LOCO PARENTIS,"Latin meaning “in the place of the parent.” Refers to actions of a custodian, guardian, or other person acting in the parent’s place.",في مكان الوالدين – يعبر عن تصرفات القيم أو الوصي أو أي شخص يعمل تحت مظلة الوالدين.,في محل الوالدين
INMATE,"A person confined to a prison, penitentiary, or jail.",نزيل - الشخص المحبوس في سجن، معتقل، أو حبس.,نزيل
INNOCENT UNTIL PROVEN GUILTY,A belief in the American legal system which states that all people accused of a criminal act are considered not to have committed the crime until the evidence leaves no doubt in the mind of the court or the jury that the accused did or did not commit the crime.,توجه ني نية حتى تثبت الإدانة - في النظام القضائي الأمريكي تعتبر كل الأشخاص الذين اتهموا بجريمة أنهم لم يرتكبوها إلا اذا أثبتت الأدلة خلاف ذلك.,بريء حتى تثبت إدانته
IN PERSONAM,An act or proceeding done or directed against or with reference to a specific person.,شخصياً – قضية، مناقشة على شخص معين.,خاص
IN PROPRIA PERSONA (IN PRO PER),When a person represents himself or herself without a lawyer. This comes from the Latin for “in one’s own proper person.”,"بالأصالة عن نفسه (بدون محامي) – حين يمثل الشخص نفسه بدون محامي، تأتي من الكلمة اللاتينية التي تعني ""من نفس الشخص"".",بالأصالة عن نفسه (بدون محامي)
IN REM,A procedural term used to designate proceedings or actions instituted against the thing in contrast to actions instituted IN PERSONAM or against the person.,حكم عيني - مصطلح إجرائي يستخدم لتحديد الدعاوى أو الإجراءات المرفوعة ضد شيء ما بعكس الإجراءات المرفوعة ضد الشخص.,حكم عيني
PROCEDURAL LAW,"The method, established normally by rules to be followed in a case; the formal steps in a judicial proceeding.",قانون الإجراءات - الطريقة المعتمدة عادة بموجب القواعد التي يتبعها المرء في القضية.,القانون الإجرائي
PRODUCTS LIABILITY,"Refers to the legal liability of manufacturers and sellers to compensate buyers, users and even bystanders for damages or injuries suffered because of defects in goods purchased.",مسؤولية المنتجات - تشير إلى المسؤولية القانونية التي يتحملها المصنعون والبائعون في تعويض المشترين والمستخدمين وحتى المارة عن الأضرار أو الإصابات التي تسببها عيوب في البضائع المباعة.,مسؤولية المنتجات
PROFFER,An offer of proof as to what the evidence would be if a witness were called to testify or answer a question.,تقديم دليل - عرض حول ما يمكن أن يكون عليه الدليل لو طلب أسئلة شاهد للإدلاء بشهادته.,تقديم الدليل
PRO HAC VICE,"For this one particular occasion. For example, an out-of-state lawyer may be admitted to practice in a local jurisdiction for a particular case only. From the Latin meaning “for this turn.”",لمرة واحدة - أحد الأمثلاء لهذه المناسبة الخاصة، وعلى سبيل المثال: يمكن لمحامي من ولاية أخرى أن يُقبل للممارسة في اختصاص قضائي محلي لقضية معينة فقط.,لمرة واحدة
PROHIBITION,Act or law that forbids something.,حظر - قانون أو تشريع يمنع شيئاً ما.,الحظر
PROMISSORY NOTE,A written document that says a person promises to pay money to another.,كمبيالة - وثيقة خطية تنص على وعد شخص بدفع مبلغ من المال إلى آخر.,الكمبيالة
PROOF,Any fact or evidence that leads to a judgment of the court.,بيّنة - أي حقيقة أو دليل يؤدي إلى حكم المحكمة.,البيّنة
PROOF OF SERVICE,A form filed with the court that proves that court papers were properly delivered to someone.,إثبات التسليم - نموذج يقدم إلى المحكمة يثبت تسليم أوراق المحكمة بشكل صحيح إلى شخص.,إثبات التسليم
PRO PER,Person who presents their own cases in court without lawyers (See also IN PROPIA PERSONA and PRO SE).,شخص يتقدم بقضيته في المحكمة بدون محامين.,شخص بالإنابة
PROPERTY,Something tangible or intangible that someone holds legal title.,ملك - شيء ملموس أو غير ملموس يحمل شخص لقب مالكه.,الملكية
PRO SE,Person who presents their own cases in court without lawyers (See also PRO PER and PRO SE).,شخص يتقدم بقضيته في المحكمة بدون محامين.,بصفة ذاتية
PROSECUTING ATTORNEY,A public office who prosecutes criminal cases for the state. See PROSECUTOR and DISTRICT ATTORNEY.,محامي الادعاء - محرر قضائي يدير القضايا الجنائية لصالح الدولة.,محامي الادعاء
PROSECUTION,The party that starts a criminal case and files criminal charges. The prosecution is the lawyer for the state. A common name for the state’s side of the case.,الادعاء العام - الجهة التي تبدأ قضية جنائية وتقدم تهماً جنائية. الادعاء هو محامي الدولة.,الادعاء العام
PROSECUTOR,"A trial lawyer representing the government in a criminal case and the interests of the state in civil matters. In criminal cases, the prosecutor has the responsibility of deciding who and when to file charges.",المدعي العام - محامي محاكمات يمثل الحكومة في القضايا الجنائية ومصالح الدولة في القضايا المدنية. في القضايا الجنائية، على المدعي العام مسؤولية تقرير من يتم رفع الدعوى ضده ومتى.,المدعي العام
FIELD SOBRIETY TEST,A method of determining whether a person is intoxicated using a motor skills test which is administered by testing the driver's speaking ability and/or physical coordination.,طريقة تقييم الحالة من الممكن استخدامها بدراسة مهارات السائق، كيفية تكلمه، وكفاءة عمل أعضاء جسمه الحركية,اختبار زيارة الميدان
FIFTH AMENDMENT,"Among other rights, the Fifth Amendment to the U.S. Constitution guarantees that a person cannot be forced to present self-incriminating testimony in a criminal proceeding.",ضمن الحقوق التي يضمنها التعديل الخامس لدستور الولايات المتحدة عدم إجبار أي أحد على تقديم إفادة قد تدينه قانونياً في أثناء إجراءات جنائية,التعديل الخامس
FILE,When a person officially gives a paper to a court clerk and that paper becomes part of the record of a case.,تقديم أوراق لقسم الكتاب المحكمة، يصبح نصفهُ,تقديم ملف
FIND GUILTY,For the judge or jury to determine and declare that the true effort is at fault.,يصدر القاضي أو هيئة المحلفين حكمها بأن الفرد مذنب,الحكم بالذنب
FINDING,When a judicial officer or jury says something is a fact.,عندما يشير قاضي أو هيئة,الحكم (بالنقاط)
FINDINGS OF FACT,An oral or written statement by a judge after a review of the evidence stating that the facts given are found to be true.,يطلق هذا المصطلح (بصفة عامة) على تقرير خطي أو شفهي يصدره القاضي بعد الاطلاع على البيانات، يتضمن على بيان بأن الوقائع المعروضة صحيحة.,مدونات حقوق الحقائق
FINE,The money a person must pay as punishment for doing something illegal or for not doing something they were supposed to do.,غرامة - مبلغ من المال يدفعه شخص كعقاب لأنه ف عك يقوم بأمر محظور,الغرامة
FINGERPRINT,The distinctive pattern of lines on human fingertips that are used as a method of identification in criminal cases.,يصف الأصبع - بصمة يظهر مع على يدلات الأصابع البرمج,بصمة الأصبع
FIREARM,"A weapon which acts by force of gunpowder, such as a rifle, shotgun or revolver.",سلاح ناري - سلاح يعمل بواسطة البارود مثل: بندقية، بارودية، طبنجة,سلاح ناري
FIRST APPEARANCE,"The initial appearance of an arrested person before a judge to determine whether there is probable cause for his or her arrest. Generally, the person comes before a judge within hours of the arrest, and are informed of the charges against him or her and of his or her rights to a preliminary hearing, to counsel, and to bail. No plea is asked for at this time. Also called INITIAL APPEARANCE.","لأول المظهر أمام القاضي – يحضر الشخص المقبوض عليه أمام القاضي ليتم تحديد إذا كانت هناك أسباب معقولة. بشكل عام، يحضر الشخص أمام القاضي بعد ساعات من ألقاء القبض عليه، ويطلع على التهم الموجهة إليه، وحقه في الإستماع التمهيدي، والإستشارة القانونية، والكفالة، ولا يطلب منه في هذه الفترة. يسمى أيضا ”ظهور البداية"".",ظهور الأولي
FITNESS HEARING,A court hearing to decide if a juvenile (minor) should be tried as an adult.,جلسة تقرير النضج (الطفل) - جلسة في المحكمة لتحديد إذا كان يجب بمحاكمة كبالغ,جلسة تقرير النضج
